2017-01-04 15:22:34 WARN  App:23 - Starting ...
2017-01-04 15:22:37 WARN  StartUp:20 - Starting server node
2017-01-04 15:22:37 WARN  Game:83 - Node as Server: init done
2017-01-04 15:22:37 WARN  StartUp:24 - Starting additional 1 nodes.
2017-01-04 15:22:37 WARN  Game:74 - Node as Client: init done
2017-01-04 15:22:37 WARN  StartUp:31 - Startup finished.
2017-01-04 15:22:39 WARN  StartUp:45 - starting Game in
2017-01-04 15:22:39 WARN  StartUp:50 - 3
2017-01-04 15:22:40 WARN  StartUp:50 - 2
2017-01-04 15:22:41 WARN  StartUp:50 - 1
2017-01-04 15:22:42 WARN  Game:118 - start id: 10 206 174 217 61 32 195 94 226 112 88 209 171 157 166 212 250 52 108 243 
2017-01-04 15:22:42 WARN  Game:120 - end id: 86 148 219 118 220 224 201 178 13 28 204 155 101 169 11 127 136 77 24 43 
2017-01-04 15:22:42 WARN  Game:122 - { |-|-|-|-|S|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|S|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|S|S|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|-|-|-|-|-|S|S|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-| }
2017-01-04 15:22:42 WARN  Game:118 - start id: 86 148 219 118 220 224 201 178 13 28 204 155 101 169 11 127 136 77 24 44 
2017-01-04 15:22:42 WARN  Game:120 - end id: 10 206 174 217 61 32 195 94 226 112 88 209 171 157 166 212 250 52 108 242 
2017-01-04 15:22:42 WARN  Game:122 - { |-|-|-|S|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|S|-|S|-|-|-|S|-|S|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|S|-|-|-|-|-|S|-|-|-|-|-|-|-|S|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-| }
2017-01-04 15:22:42 WARN  Game:128 - 0A CE AE D9 3D 20 C3 5E E2 70 58 D1 AB 9D A6 D4 FA 34 6C F2  has 2^160-1
